game_id,target,value,reason
TRKR1/450380,elder_dragon_side,N/A,system_not_available
TRKR1/450380,first_baron_side,RED,team_totals
TRKR1/450380,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450380,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450381,winner_side,BLUE,team_totals
TRKR1/450381,first_dragon_side,RED,firstdragon_flags
TRKR1/450381,more_dragons_side,,missing_dragon_count
TRKR1/450381,first_four_dragon_side,,missing_source_count
TRKR1/450381,dragon_soul_side,N/A,system_not_available
TRKR1/450381,elder_dragon_side,N/A,system_not_available
TRKR1/450381,first_baron_side,BLUE,team_totals
TRKR1/450381,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450381,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450390,winner_side,RED,team_totals
TRKR1/450390,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450390,more_dragons_side,,missing_dragon_count
TRKR1/450390,first_four_dragon_side,,missing_source_count
TRKR1/450390,dragon_soul_side,N/A,system_not_available
TRKR1/450390,elder_dragon_side,N/A,system_not_available
TRKR1/450390,first_baron_side,RED,team_totals
TRKR1/450390,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450390,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450392,winner_side,BLUE,team_totals
TRKR1/450392,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450392,more_dragons_side,,missing_dragon_count
TRKR1/450392,first_four_dragon_side,,missing_source_count
TRKR1/450392,dragon_soul_side,N/A,system_not_available
TRKR1/450392,elder_dragon_side,N/A,system_not_available
TRKR1/450392,first_baron_side,BLUE,team_totals
TRKR1/450392,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450392,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450440,winner_side,BLUE,team_totals
TRKR1/450440,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450440,more_dragons_side,,missing_dragon_count
TRKR1/450440,first_four_dragon_side,,missing_source_count
TRKR1/450440,dragon_soul_side,N/A,system_not_available
TRKR1/450440,elder_dragon_side,N/A,system_not_available
TRKR1/450440,first_baron_side,BLUE,team_totals
TRKR1/450440,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450440,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450443,winner_side,BLUE,team_totals
TRKR1/450443,first_dragon_side,RED,firstdragon_flags
TRKR1/450443,more_dragons_side,,missing_dragon_count
TRKR1/450443,first_four_dragon_side,,missing_source_count
TRKR1/450443,dragon_soul_side,N/A,system_not_available
TRKR1/450443,elder_dragon_side,N/A,system_not_available
TRKR1/450443,first_baron_side,BLUE,team_totals
TRKR1/450443,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450443,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450445,winner_side,BLUE,team_totals
TRKR1/450445,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450445,more_dragons_side,,missing_dragon_count
TRKR1/450445,first_four_dragon_side,,missing_source_count
TRKR1/450445,dragon_soul_side,N/A,system_not_available
TRKR1/450445,elder_dragon_side,N/A,system_not_available
TRKR1/450445,first_baron_side,RED,team_totals
TRKR1/450445,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450445,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440452,winner_side,BLUE,team_totals
TRKR1/440452,first_dragon_side,RED,firstdragon_flags
TRKR1/440452,more_dragons_side,,missing_dragon_count
TRKR1/440452,first_four_dragon_side,,missing_source_count
TRKR1/440452,dragon_soul_side,N/A,system_not_available
TRKR1/440452,elder_dragon_side,N/A,system_not_available
TRKR1/440452,first_baron_side,NONE,team_totals
TRKR1/440452,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440452,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450501,winner_side,RED,team_totals
TRKR1/450501,first_dragon_side,BLUE,firstdragon_flags
